#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
744,Bryce Johnson,669369,669369,20002,11526,*04ehv*,SD,OF,OF,Johnson,Bryce,Johnson,Bryce,Bryce Johnson
745,Asa Lacy,669370,669370,,11116,*059qm*,KC,SP,SP,Lacy,Asa,Lacy,Asa,
746,Cole Henry,669371,669371,27570,11423,*05gs4*,WSH,RP,RP,Henry,Cole,Henry,Cole,Cole Henry
747,J.T. Ginn,669372,669372,27889,12161,*04pkt*,ATH,SP,SP,Ginn,J.T.,Ginn,J.T.,J.T. Ginn
748,Tarik Skubal,669373,669373,22267,10711,*04ptt*,DET,SP,SP,Skubal,Tarik,Skubal,Tarik,Tarik Skubal
749,Keston Hiura,669374,669374,20003,10264,*04e82*,FA,1B,1B,Hiura,Keston,,,
750,Raynel Delgado,669384,669384,sa3007288,10314,*04ps5*,TB,2B,2B,Delgado,Raynel,Delgado,Raynel,
751,Carmen Mlodzinski,669387,669387,27572,11810,*05a29*,PIT,SP,SP,Mlodzinski,Carmen,Mlodzinski,Carmen,Carmen Mlodzinski
752,Samad Taylor,669392,669392,22274,11640,*041vt*,SEA,OF,OF,Taylor,Samad,Taylor,Samad,Samad Taylor
753,Jake Burger,669394,669394,22275,10224,*04azv*,TEX,1B/3B,1B/3B,Burger,Jake,Burger,Jake,Jake Burger
754,Nick Allen,669397,669397,22277,10857,*04efs*,HOU,SS,SS,Allen,Nick,Allen,Nick,Nick Allen
755,Gage Workman,669398,669398,27573,12327,*04en9*,DET,3B,SS/3B,Workman,Gage,Workman,Gage,Gage Workman
756,Frainyer Chavez,669413,669413,sa3007019,10395,*04q4n*,TEX,SS,SS,Chavez,Frainyer,Chavez,Frainyer,
757,Trevor Rogers,669432,669432,22286,10351,*04ak5*,BAL,SP,SP,Rogers,Trevor,Rogers,Trevor,Trevor Rogers
758,Mason Englert,669438,669438,22288,11726,*04pqh*,TB,RP,RP,Englert,Mason,Englert,Mason,Mason Englert
759,Chandler Champlain,669441,669441,sa3018138,12029,*05y7q*,KC,SP,SP,Champlain,Chandler,Champlain,Chandler,
760,Cooper Hummel,669450,669450,19458,11332,*0421c*,FA,OF,OF,Hummel,Cooper,,,
761,Shane Bieber,669456,669456,19427,10038,*041rf*,TOR,SP,SP,Bieber,Shane,Bieber,Shane,Shane Bieber
762,Kyle Nelson,669459,669459,20515,10929,*04eny*,ARI,RP,RP,Nelson,Kyle,Nelson,Kyle,Kyle Nelson
763,Matthew Liberatore,669461,669461,22294,10287,*04mlx*,STL,SP,SP,Liberatore,Matthew,Liberatore,Matthew,Matthew Liberatore
764,Andre Pallante,669467,669467,26108,11442,*05133*,STL,SP,SP,Pallante,Andre,Pallante,Andre,Andre Pallante
765,Devin Mann,669471,669471,sa3006869,11051,*04pr2*,SF,2B,2B,Mann,Devin,Mann,Devin,
766,Casey Schmitt,669477,669477,27577,11743,*05jp4*,SF,1B/2B/ 3B,1B/2B/ 3B,Schmitt,Casey,Schmitt,Casey,Casey Schmitt
767,Brady Basso,669620,669620,25582,11972,*051c5*,ATH,RP,RP,Basso,Brady,Basso,Brady,Brady Basso
768,Anthony Bender,669622,669622,19742,11205,*0423e*,MIA,RP,RP,Bender,Anthony,Bender,Anthony,Anthony Bender
